wall id,worst distance to outside (in),distance to outside at base (in),worst distance to kern (in),distance to kern at base (in)
3601A,5.299045861390216,7.032122117713659,-3.584327958377294,-2.2033266322863376
3601B,5.953917325969501,10.888531158048673,1.5174518138374449,1.547405041020765
3601C,9.257867859728915,9.636097517796347,-0.8607611646518514,0.6313737868558746
3601D,5.1370935626151635,12.130217039562622,-0.36996885494734144,3.1925717655591637
3602A,6.403888416267666,10.895121460566282,0.48147407710520795,2.032238903507908
3603A,3.0795193789772854,8.456354658742317,-2.692515710542697,-0.4159481257133919
3604A,4.676714505148723,13.188647967186652,-0.7492956829544326,4.372137550981192
3605A,4.459234478544648,10.327938997413824,1.2507884762361208,1.4297588467939768
3606A,3.2014993055549823,12.157130152938393,0.5661137720710112,3.212287093006463
3607A,4.638230814102011,6.3264403725372595,-0.8648008995314989,0.6600835186260205
3608A,7.039441982794994,10.932856841702794,-0.45269019857314063,1.887479370868423
3609A,9.328870234939693,9.545208940585844,0.8984970177642637,2.2083462894946067
3610A,5.630258873675544,12.448520719501609,-1.519310588320117,3.497698342079339
3610A(2),6.041305451180692,9.651891764042825,-1.8196509748554313,0.7609035841819018
3610A(3),5.442253389609139,10.975234632375619,-1.3591706451827523,2.1361340505630864
3610B,2.3545020177015843,8.856314136079604,-4.061463704143563,-0.06052029378157542
3610C,3.13634311603861,9.042155092489038,-4.433168665935291,0.15813104110041998
3610D,4.963402787118515,7.008126393603256,-2.8266737632459638,-1.9858185817769503
3611A,2.620099623298012,4.303455624985165,-3.360063037813081,-0.674798461820366
3612A,6.392201388889356,8.368875823767295,1.193396190836646,2.3408077404339362
3615A,5.722156613434027,7.394815193068741,-0.7728507676520451,0.13911799423653015
3616A,6.3892791666664515,12.923066095339522,1.310694681178731,3.3786791571450117
3613A,8.26741830686954,8.93277215957243,-0.936398222326762,1.9045375762387238
3614A,10.087345338888461,10.087345338888461,1.7556454064259377,3.0972594499993953
3617A,6.301809863560017,13.246052286381083,1.5822577652546936,3.6493519727736192
3618A,4.064234762605674,13.768880298358082,0.6705506988809304,4.2532839422515
3619A,4.892730526784723,13.840551464763081,1.449927911681403,4.292554871453227
3620A,6.4528223660384345,14.11644803817435,1.0801696195364237,4.600544781848951
3621A,4.9767080817616325,10.466486332154158,-1.7898254346617968,1.067055178429051
3622A,5.14186971207815,11.275473675080663,-1.4608463143318744,1.6292733556363945
3623A,1.1754123569629442,5.167252924027066,-5.542393529600375,-4.278844667397431
3624A,8.129315955127332,12.668254593534801,2.2233765644997696,3.054599813827636
3626A,5.194126783283881,8.81567609369187,-1.7136701080633756,-0.20922435704728315
3627A,3.7845968018326275,12.421514953296763,0.6565807173486853,3.178728064806746
3629A,6.105256704673632,8.905290786868786,-1.0556357275537032,-0.44499920945246174
3628A,6.095744885381405,9.152142339647327,-0.30465790524226755,-0.1668469118819278
3630A,6.008227630479073,7.844343231957373,1.0204873214518262,1.8297249257074935
3631A(2),4.428673429214667,8.000043829760925,0.32150864439035587,2.033260768718364
3631A,-0.2005252394297834,6.906043748302137,-2.3928245449849044,0.8951810226077086
3632A,7.973656900245221,11.43266015490892,1.7586873732281418,2.2033558221067473
3634A,5.351427083332981,9.426635861021675,1.5081559920816066,2.814613446438445
3636A,6.829217963415729,12.580028128403256,1.2545199703601924,4.0410536996976525
3635A,4.561840277777252,11.931527059611293,1.5190928124998244,3.2084792894727077
3637A,5.281649371060498,12.58675019779571,-0.6146880691385199,3.592208415156824
3638A,3.8528128537033908,13.452837467969093,-0.30806839907422656,3.926376154774559
3642A,7.389825056980273,11.119050983415693,1.6237208877626692,1.8061677021657303
3643A,4.375053001216738,8.752014696035777,-2.2594674310882787,-0.1441602620103044
3644A,3.481249473080638,7.2999116537977145,-3.6375055075108023,-1.859622928876906
3644B,-0.7875459145200487,10.309591263474843,-0.26225278953517517,1.1196625384596004
3644C,7.18387732305739,13.654872676761483,1.733653912279772,4.517771527282116
3644D,7.35510983279716,12.97902531774905,1.3830038394563644,3.765480579427267
3644E,7.823905445237514,10.321420364166517,0.24818160268252143,1.574486209110571
3644F,7.313058261804731,13.843769841025896,0.18812121136551596,4.608060832535134
3646A,3.5420701684650293,6.673566391833466,-0.9481706740974722,0.7245118696113355
3648A,6.647134859143517,14.024000283831406,0.43939629894306975,4.013502605519076
3653A,5.295534771351548,8.811065445269495,-3.9531255786464463,-1.1533471415366137
3654A,6.325319894387693,12.805262114921518,0.1867091133327321,3.191487722560211
3656A,9.030352698275092,12.661665561196013,0.4548008614695469,2.880454714667991
3660A,8.762936976987573,12.665375247376303,1.9145728221288305,3.2702966269433436
3661A,9.61203804399333,13.469072345003802,1.281819070238008,3.803607305420229
3663A,1.2843106745510298,6.130059263376285,-4.344705034908257,-1.0043722914372513
3637B,13.029747673058882,13.029747673058882,2.029402363730359,2.029402363730359
3625A,1.2397907674585618,2.850307864594182,-6.015717332871201,-6.015717332871201
3626A,5.194126783283828,8.815676093691845,-1.713670108063443,-0.20922435704730802
3625A,1.239790767458583,2.850307864594196,-6.015717332871191,-6.015717332871191
