WallID,OriginalID,Height_in,Max_Width_in,Min_Width_in,Avg_Width_in
5701A,3601A,163.99999999999994,11.600000000000023,0.04277682064480359,2.42460948497186
5701B,3601B,168.01792360979735,12.149097222221599,0.014962043593982344,1.8199501549074102
5701C,3601C,180.0,12.63000000000011,0.05834405497762418,3.3871682087902766
5701D,3601D,172.0,12.888333333334003,0.03916528288027621,2.8771539747845236
5702A,3602A,140.0,10.019097222221944,0.021707024249053575,1.892141570587255
5703A,3603A,124.0,22.269097222222854,0.03859808028323641,3.75370404503841
5704A,3604A,164.0,12.752777777777965,0.2185723848726866,4.47140359104098
5705A,3605A,87.00000000000001,12.267708333333076,0.017272318799314235,2.2438996492193586
5706A,3606A,93.00000000000001,12.882777777777846,0.06996201935544377,1.2400039057416665
5707A,3607A,163.99999999999994,11.600000000000023,0.04277682064480359,2.42460948497186
5708A,3608A,99.00000000000001,9.008333333332757,0.07078264557139846,1.5280745813183512
5709A,3609A,168.01792360979735,12.149097222221599,0.014962043593982344,1.8199501549074102
5710A,3610A,84.00000000000001,12.385555555556039,0.010003417628013267,2.7992370685616152
5710A(2),3610A(2),93.00000000000001,15.00555555555593,0.05386993716456345,1.1093292245635575
5710A(3),3610A(3),90.00000000000001,14.765555555554783,0.002349181913814391,1.9406109187543599
5710B,3610B,93.00000000000001,18.768333333333885,0.14374002938166086,4.770195418687977
5710C,3610C,96.00000000000001,22.018333333332976,0.07224396853143844,5.321557373572118
5710D,3610D,96.00000000000001,20.01909722222217,0.1543820280107866,4.273080794679581
5711A,3611A,84.0,13.018333333333203,0.012842159570254807,0.8337875334642013
5712A,3612A,180.0,12.63000000000011,0.05834405497762418,3.3871682087902766
5713A,3613A,172.0,12.888333333334003,0.03916528288027621,2.8771539747845236
5714A,3614A,140.0,10.019097222221944,0.021707024249053575,1.892141570587255
5715A,3615A,184.0,9.519097222221944,0.004136877327937327,1.3567431038229052
5716A,3616A,124.0,22.269097222222854,0.03859808028323641,3.75370404503841
5717A,3617A,164.0,12.752777777777965,0.2185723848726866,4.47140359104098
5718A,3618A,120.0,13.016319444445116,0.011781787073687155,1.7249371224107608
5719A,3619A,93.00000000000001,12.882777777777846,0.06996201935544377,1.2400039057416665
5720A,3620A,179.9999999999991,10.64909722222319,0.05796652742947117,2.916375583512472
5721A,3621A,147.9999999999991,14.769097222222172,0.0017870574884000234,1.7285683255014375
5722A,3622A,128.0,17.88555555555513,0.14928186510132946,3.8080951182912894
5723A,3623A,136.0,17.51631944444489,0.04243595730758898,2.601220007146444
5724A,3624A,93.00000000000001,18.768333333333885,0.14374002938166086,4.770195418687977
5725A,3625A,78.00000000000001,27.019097222221717,0.008850763395457761,1.0434187909437878
5726A,3626A,60.0,15.765555555556148,0.11541109468862487,2.185965472529806
5727A,3627A,96.00000000000001,22.018333333332976,0.07224396853143844,5.321557373572118
5728A,3628A,96.00000000000001,20.01909722222217,0.1543820280107866,4.273080794679581
5729A,3629A,87.0,15.636944444444907,0.07116284773155712,1.3913580865186441
5730A,3630A,75.00000000000001,5.888333333333321,0.008685620227879554,1.329997057911096
5731A(2),3631A(2),51.99999999999999,4.254444444443834,0.016148626566518942,1.6933576467220701
5731A,3631A,72.00000000000001,14.385555555556039,0.0012547329088192782,2.0687441254540455
5732A,3632A,78.00000000000001,27.019097222221717,0.008850763395457761,1.0434187909437878
5734A,3634A,80.00000000000001,5.51631944444398,0.05305644191139436,2.0043074530210108
5736A,3636A,67.99525639752005,7.01631944444398,0.037191135945704445,1.433508359426487
5735A,3635A,60.0,15.765555555556148,0.11541109468862487,2.185965472529806
5737A,3637A,164.0,9.382777777778301,0.07195611563292914,1.1205084260440845
5737B,3637B,160.0,5.24027777777701,0.024974788633244316,0.7937362570925188
5738A,3638A,168.0,10.008333333334122,0.0006413432402041508,0.8189509302224497
5742A,3642A,180.0,8.016319444444889,0.03319329744181232,0.5853833328647761
5743A,3643A,140.0,15.008333333332757,0.08200287386671334,1.9875978157333065
5744A,3644A,168.0,16.149097222221826,0.001128292955854704,1.1676538016384848
5744B,3644B,176.0,17.269097222221717,0.04925460048343666,0.8852583457432865
5744C,3644C,184.0,9.019097222221717,0.010609399455006496,2.3504151450075916
5744D,3644D,104.0,9.149097222222736,0.08558392438044393,1.3956252469392347
5744E,3644E,153.0,15.50972222222299,0.22577118542994867,2.588887169666041
5744F,3644F,188.0,10.012777777778865,0.02846997490087233,2.275651610798877
5746A,3646A,104.0,9.149097222222736,0.08558392438044393,1.3956252469392347
5748A,3648A,152.0,10.399097222221826,0.1281245373256752,4.340215420216964
5753A,3653A,161.0,17.006944444445253,0.002368499212934694,3.1387946834521245
5754A,3654A,161.0,10.256944444442524,0.047673176462012634,1.5193446222861986
5756A,3656A,149.0,7.268333333331611,0.16417117303444684,1.2245130177939973
5760A,3660A,133.0,9.13972222222128,0.007843184267585457,1.6371597120511523
5761A,3661A,172.9999999999999,7.012777777777046,0.016872619733476313,1.868360285608469
5763A,3663A,153.0,15.50972222222299,0.22577118542994867,2.588887169666041
5725A,3625A,78.00000000000001,27.019097222221717,0.008850763395457761,1.0434187909437878
5726A,3626A,60.0,15.765555555556148,0.11541109468862487,2.185965472529806
